timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742979066258,978,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1601,114,3,3,https://example.com/,972,0,882
1742979066536,703,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1601,114,3,3,https://example.com/,689,0,610
1742979067029,229,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1601,114,3,3,https://example.com/,229,0,170
1742979067243,60,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,3,3,https://example.com/,60,0,0
1742979067248,62,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,3,3,https://example.com/,62,0,0
1742979067259,57,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,3,3,https://example.com/,57,0,0
1742979067303,60,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,3,3,https://example.com/,59,0,0
1742979067312,60,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,3,3,https://example.com/,60,0,0
1742979067317,60,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,3,3,https://example.com/,60,0,0
1742979067363,58,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,3,3,https://example.com/,58,0,0
1742979067373,56,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,3,3,https://example.com/,56,0,0
1742979067377,57,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,3,3,https://example.com/,57,0,0
1742979067422,58,Sample HTTP Request,200,OK,Sample Thread Group 1-1,text,true,,1518,114,3,3,https://example.com/,58,0,0
1742979067429,57,Sample HTTP Request,200,OK,Sample Thread Group 1-2,text,true,,1518,114,3,3,https://example.com/,57,0,0
1742979067435,58,Sample HTTP Request,200,OK,Sample Thread Group 1-3,text,true,,1518,114,3,3,https://example.com/,58,0,0
